/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:5.4 CYCLES:313 ICOUNT:58 IHITRATE: 97.1 DHITRATE: 72.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:4.3 CYCLES:4496 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:4.3 CYCLES:4418 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:4.2 CYCLES:4328 ICOUNT:1035 IHITRATE: 90.8 DHITRATE: 99.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:4.2 CYCLES:4398 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:4.3 CYCLES:4482 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 97.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:4.3 CYCLES:4494 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:4.3 CYCLES:4488 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:4.4 CYCLES:4530 ICOUNT:1035 IHITRATE: 91.3 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:4.3 CYCLES:4426 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:4.3 CYCLES:4412 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:4.3 CYCLES:4496 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:4.3 CYCLES:4418 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:4.2 CYCLES:4328 ICOUNT:1035 IHITRATE: 90.8 DHITRATE: 99.5
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:4.2 CYCLES:4398 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:4.3 CYCLES:4482 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 97.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:4.3 CYCLES:4494 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:4.3 CYCLES:4488 ICOUNT:1035 IHITRATE: 91.2 DHITRATE: 96.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:4.4 CYCLES:4530 ICOUNT:1035 IHITRATE: 91.3 DHITRATE: 96.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:4.3 CYCLES:4426 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:4.3 CYCLES:4412 ICOUNT:1035 IHITRATE: 91.0 DHITRATE: 98.2
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst.asm SUCCESS CPI:4.6 CYCLES:468 ICOUNT:102 IHITRATE: 97.7 DHITRATE: 136.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:4.7 CYCLES:4612 ICOUNT:983 IHITRATE: 99.6 DHITRATE: 137.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:4.3 CYCLES:4234 ICOUNT:978 IHITRATE: 99.6 DHITRATE: 146.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_2.asm SUCCESS CPI:4.3 CYCLES:4206 ICOUNT:978 IHITRATE: 99.6 DHITRATE: 146.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:4.4 CYCLES:4276 ICOUNT:979 IHITRATE: 99.6 DHITRATE: 145.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:4.3 CYCLES:4206 ICOUNT:978 IHITRATE: 99.6 DHITRATE: 146.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:4.6 CYCLES:4556 ICOUNT:982 IHITRATE: 99.6 DHITRATE: 138.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:4.5 CYCLES:4416 ICOUNT:981 IHITRATE: 99.6 DHITRATE: 141.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:4.5 CYCLES:4416 ICOUNT:981 IHITRATE: 99.6 DHITRATE: 141.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:4.6 CYCLES:4570 ICOUNT:983 IHITRATE: 99.6 DHITRATE: 138.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:4.3 CYCLES:4220 ICOUNT:978 IHITRATE: 99.6 DHITRATE: 146.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:4.5 CYCLES:4388 ICOUNT:980 IHITRATE: 99.6 DHITRATE: 142.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:4.3 CYCLES:4234 ICOUNT:978 IHITRATE: 99.6 DHITRATE: 146.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:4.3 CYCLES:4206 ICOUNT:978 IHITRATE: 99.6 DHITRATE: 146.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:4.4 CYCLES:4276 ICOUNT:979 IHITRATE: 99.6 DHITRATE: 145.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:4.3 CYCLES:4206 ICOUNT:978 IHITRATE: 99.6 DHITRATE: 146.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:4.6 CYCLES:4556 ICOUNT:982 IHITRATE: 99.6 DHITRATE: 138.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:4.5 CYCLES:4416 ICOUNT:981 IHITRATE: 99.6 DHITRATE: 141.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:4.5 CYCLES:4416 ICOUNT:981 IHITRATE: 99.6 DHITRATE: 141.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:4.6 CYCLES:4570 ICOUNT:983 IHITRATE: 99.6 DHITRATE: 138.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:4.3 CYCLES:4220 ICOUNT:978 IHITRATE: 99.6 DHITRATE: 146.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:5.2 CYCLES:52 ICOUNT:10 IHITRATE: 78.6 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:8.7 CYCLES:61 ICOUNT:7 IHITRATE: 73.3 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:5.1 CYCLES:46 ICOUNT:9 IHITRATE: 72.7 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:8.4 CYCLES:59 ICOUNT:7 IHITRATE: 71.4 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:5.7 CYCLES:57 ICOUNT:10 IHITRATE: 81.2 DHITRATE: 171.4
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:9.6 CYCLES:67 ICOUNT:7 IHITRATE: 77.8 DHITRATE: 150.0
